forecast_item,date,volume,reg_name,reg_value
NO: 389246,2019-01-01,8211,0,0
NO: 389246,2019-02-01,5280,0,0
NO: 389246,2019-03-01,8110,0,0
NO: 389246,2019-04-01,8520,0,0
NO: 389246,2019-05-01,4295,0,0
NO: 389246,2019-06-01,7410,0,0
NO: 389246,2019-07-01,8420,0,0
NO: 389246,2019-08-01,6896,0,0
NO: 389246,2019-09-01,7739,0,0
NO: 389246,2019-10-01,7739,0,0
NO: 389246,2019-11-01,7374,0,0
NO: 389246,2019-12-01,10060,0,0
NO: 389246,2020-01-01,7880,0,0
NO: 389246,2020-02-01,5480,0,0
NO: 389246,2020-03-01,10096,0,0
NO: 389246,2020-04-01,9180,0,0
NO: 389246,2020-05-01,4651,0,0
NO: 389246,2020-06-01,10400,0,0
NO: 389246,2020-07-01,6789,0,0
SE: 293520,2014-11-01,8294,0,0
SE: 293520,2014-12-01,9408,0,0
SE: 293520,2015-01-01,9344,0,0
SE: 293520,2015-02-01,8373,0,0
SE: 293520,2015-03-01,9672,0,0
SE: 293520,2015-04-01,8977,0,0
SE: 293520,2015-05-01,9201,0,0
SE: 293520,2015-06-01,9549,0,0
SE: 293520,2015-07-01,9040,0,0
SE: 293520,2015-08-01,8732,0,0
SE: 293520,2015-09-01,8971,0,0
SE: 293520,2015-10-01,8947,0,0
SE: 293520,2015-11-01,8823,0,0
SE: 293520,2015-12-01,9094,0,0
SE: 293520,2016-01-01,7999,0,0
SE: 293520,2016-02-01,8423,0,0
SE: 293520,2016-03-01,9669,0,0
SE: 293520,2016-04-01,8460,0,0
SE: 293520,2016-05-01,8993,0,0
SE: 293520,2016-06-01,8890,0,0
SE: 293520,2016-07-01,7927,0,0
SE: 293520,2016-08-01,9391,0,0
SE: 293520,2016-09-01,8539,0,0
SE: 293520,2016-10-01,4769,0,0
SE: 293520,2016-11-01,11555,0,0
SE: 293520,2016-12-01,8009,0,0
SE: 293520,2017-01-01,8482,0,0
SE: 293520,2017-02-01,7904,0,0
SE: 293520,2017-03-01,8856,0,0
SE: 293520,2017-04-01,7846,0,0
SE: 293520,2017-05-01,8669,0,0
SE: 293520,2017-06-01,8595,0,0
SE: 293520,2017-07-01,7935,0,0
SE: 293520,2017-08-01,2553,SE: 293520-OOS1,-0.7
SE: 293520,2017-09-01,95,SE: 293520-OOS1,-1
SE: 293520,2017-10-01,12607,SE: 293520-OOS1,0.4
SE: 293520,2017-11-01,6713,0,0
SE: 293520,2017-12-01,5134,0,0
SE: 293520,2018-01-01,7258,0,0
SE: 293520,2018-02-01,6269,0,0
SE: 293520,2018-03-01,6659,0,0
SE: 293520,2018-04-01,6421,0,0
SE: 293520,2018-05-01,7290,0,0
SE: 293520,2018-06-01,4378,0,0
SE: 293520,2018-07-01,7989,0,0
SE: 293520,2018-08-01,6792,0,0
SE: 293520,2018-09-01,11027,0,0
SE: 293520,2018-10-01,8127,0,0
SE: 293520,2018-11-01,8338,0,0
SE: 293520,2018-12-01,7814,0,0
SE: 293520,2019-01-01,9250,0,0
SE: 293520,2019-02-01,7208,0,0
SE: 293520,2019-03-01,6911,0,0
SE: 293520,2019-04-01,7454,0,0
SE: 293520,2019-05-01,7830,0,0
SE: 293520,2019-06-01,7334,0,0
SE: 293520,2019-07-01,7498,0,0
SE: 293520,2019-08-01,7955,0,0
SE: 293520,2019-09-01,9221,0,0
SE: 293520,2019-10-01,7542,0,0
SE: 293520,2019-11-01,8011,0,0
SE: 293520,2019-12-01,7831,0,0
SE: 293520,2020-01-01,9287,0,0
SE: 293520,2020-02-01,8710,0,0
SE: 293520,2020-03-01,10712,0,0
SE: 293520,2020-04-01,8156,0,0
SE: 293520,2020-05-01,7919,0,0
SE: 293520,2020-06-01,7932,0,0
SE: 293520,2020-07-01,9563,0,0
SE: 492598,2014-11-01,18,0,0
SE: 492598,2014-12-01,26,0,0
SE: 492598,2015-01-01,24,0,0
SE: 492598,2015-02-01,40,0,0
SE: 492598,2015-03-01,33,0,0
SE: 492598,2015-04-01,44,0,0
SE: 492598,2015-05-01,46,0,0
SE: 492598,2015-06-01,41,0,0
SE: 492598,2015-07-01,45,0,0
SE: 492598,2015-08-01,25,0,0
SE: 492598,2015-09-01,32,0,0
SE: 492598,2015-10-01,28,0,0
SE: 492598,2015-11-01,41,0,0
SE: 492598,2015-12-01,39,0,0
SE: 492598,2016-01-01,36,0,0
SE: 492598,2016-02-01,35,0,0
SE: 492598,2016-03-01,56,0,0
SE: 492598,2016-04-01,39,0,0
SE: 492598,2016-05-01,34,0,0
SE: 492598,2016-06-01,26,0,0
SE: 492598,2016-07-01,34,0,0
SE: 492598,2016-08-01,27,0,0
SE: 492598,2016-09-01,19,0,0
SE: 492598,2016-10-01,57,0,0
SE: 492598,2016-11-01,77,0,0
SE: 492598,2016-12-01,62,0,0
